articleid	title	url	googletime	publishtime	newsoutletid
72	Theranos Chief Yields to Calls for Proof of Blood Test's Reliability	http://www.nytimes.com/2015/10/27/business/chief-of-theranos-pledges-to-prove-blood-tests-reliability.html	2015-10-28 00:00:00	2015-10-28 00:00:00	51
268	Royals and Mets Fans: Where to Go Now in Kansas City and Queens	http://www.nytimes.com/2015/10/27/travel/royals-and-mets-fans-where-to-go-in-kansas-city-and-queens.html	2015-10-28 00:00:00	2015-10-28 00:00:00	51
332	The Latest: Mets-Royals Tied 4-4 After 11 of WS Opener	http://www.nytimes.com/aponline/2015/10/26/sports/baseball/ap-bbo-playoffs-the-latest.html	2015-10-28 00:00:00	2015-10-28 00:00:00	51
345	FDA Cites Unapproved Device in Theranos Review, and Faults Handling of Complaints	http://www.nytimes.com/2015/10/28/business/theranos-quality-control-was-questioned-by-fda.html	2015-10-28 00:00:00	2015-10-28 00:00:00	51
402	Live Coverage | Top 11: Juan Lagares Can't Do It Alone	http://www.nytimes.com/live/world-series-mets-royals-game-1/top-11-juan-lagares-is-a-one-man-show/	2015-10-28 00:00:00	2015-10-28 00:00:00	51
418	CNBC May Be the Big Winner of the Next Republican Debate	http://www.nytimes.com/2015/10/28/business/media/a-debate-cnbc-plans-to-win.html	2015-10-28 00:00:00	2015-10-28 00:00:00	51
618	Bushes Put On Family Show of Reassurance Amid Campaign Upheaval	http://www.nytimes.com/2015/10/27/us/politics/bushes-put-on-family-show-of-reassurance-amid-campaign-upheaval.html	2015-10-28 00:00:00	2015-10-28 00:00:00	51
881	Eyes on the Warriors, a Target to All	http://www.nytimes.com/2015/10/25/sports/basketball/eyes-on-the-golden-state-warriors-a-target-to-all.html	2015-10-28 00:00:00	2015-10-28 00:00:00	51
900	Top 8: Mets Take Lead on Eric Hosmer Error	http://www.nytimes.com/live/world-series-mets-royals-game-1/mets-take-lead-on-eric-hosmer-error/	2015-10-28 00:00:00	2015-10-28 00:00:00	51
922	Top 3: David Wright Strands Two Runners	http://www.nytimes.com/live/world-series-mets-royals-game-1/top-3-david-wright-strands-two-runners/	2015-10-28 00:00:00	2015-10-28 00:00:00	51
1257	With President Obama in Their Corner, Bulls Hold Off Comeback by Cavaliers	http://www.nytimes.com/2015/10/28/sports/basketball/with-president-obama-in-their-corner-bulls-hold-off-comeback-by-cavaliers.html	2015-10-28 00:00:00	2015-10-28 00:00:00	51
1383	Your Tuesday Briefing: Afghanistan, Donald Trump, Kansas City Royals	http://www.nytimes.com/2015/10/27/nytnow/latest-news-afghanistan-south-china-sea-kansas-city-royals.html	2015-10-28 00:00:00	2015-10-28 00:00:00	51
1608	Doctors Without Borders Says Yemen Hospital Is Destroyed	http://www.nytimes.com/2015/10/28/world/middleeast/doctors-without-borders-yemen-airstrikes.html	2015-10-28 00:00:00	2015-10-28 00:00:00	51
1890	White House Moves to Reassure Allies With South China Sea Patrol, but Quietly	http://www.nytimes.com/2015/10/28/world/asia/south-china-sea-uss-lassen-spratly-islands.html	2015-10-28 00:00:00	2015-10-28 00:00:00	51
2004	Game 1 Lineups Are In	http://www.nytimes.com/live/world-series-mets-royals-game-1/game-1-lineups-are-in/	2015-10-28 00:00:00	2015-10-28 00:00:00	51
