articleid	title	url	googletime	publishtime	newsoutletid
190	Blue Jays' rally falls short, Royals return to World Series	http://www.washingtontimes.com/news/2015/oct/24/blue-jays-rally-falls-short-royals-return-to-world/	2015-10-28 00:00:00	2015-10-28 00:00:00	148
495	LEADING OFF: Royals, Mets set for World Series matchup	http://www.washingtontimes.com/news/2015/oct/24/leading-off-cespedes-gets-shot-mets-hang-with-kimm/	2015-10-28 00:00:00	2015-10-28 00:00:00	148
2329	Nebraska regulators inspect Planned Parenthood clinics	http://www.washingtontimes.com/news/2015/oct/27/nebraska-regulators-inspect-planned-parenthood-cli/	2015-10-28 00:00:00	2015-10-28 00:00:00	148
2339	Gordon homers in bottom 9th, ties World Series opener at 4	http://www.washingtontimes.com/news/2015/oct/27/gordon-homers-in-bottom-9th-ties-world-series-open/	2015-10-28 00:00:00	2015-10-28 00:00:00	148
2403	Planned Parenthood plans to open new facility in Spokane	http://www.washingtontimes.com/news/2015/oct/22/planned-parenthood-plans-to-open-new-facility-in-s/	2015-10-28 00:00:00	2015-10-28 00:00:00	148
2701	Planned Parenthood: Texas extends clinic subpoena deadline	http://www.washingtontimes.com/news/2015/oct/23/planned-parenthood-texas-extends-clinic-subpoena-d/	2015-10-28 00:00:00	2015-10-28 00:00:00	148
2727	John Boehner selects GOP panel to probe abortion practices	http://www.washingtontimes.com/news/2015/oct/23/boehner-selects-gop-panel-to-probe-abortion-practi/	2015-10-28 00:00:00	2015-10-28 00:00:00	148
2893	Planned Parenthood doctor says she will 'strive' for intact fetal skull in ...	http://www.washingtontimes.com/news/2015/oct/27/planned-parenthood-doctor-says-she-will-strive-int/	2015-10-28 00:00:00	2015-10-28 00:00:00	148
3258	STEVE DEACE: Iowa is sending Trump a message. Will he listen?	http://www.washingtontimes.com/news/2015/oct/27/steve-deace-iowa-sending-trump-message-will-he-lis/	2015-10-28 00:00:00	2015-10-28 00:00:00	148
3434	TIM CONSTANTINE: Trump makes Florida boy cry	http://www.washingtontimes.com/news/2015/oct/27/tim-constantine-trump-makes-florida-boy-cry/	2015-10-28 00:00:00	2015-10-28 00:00:00	148
3515	Opening shock: Escobar hits inside-the-park homer off Harvey	http://www.washingtontimes.com/news/2015/oct/28/opening-shock-escobar-hits-inside-the-park-homer-o/	2015-10-28 00:00:00	2015-10-28 00:00:00	148
3534	California takes step toward using 1 drug in executions	http://www.washingtontimes.com/news/2015/oct/27/california-takes-next-step-to-use-1-drug-in-execut/	2015-10-28 00:00:00	2015-10-28 00:00:00	148
3751	Hispanic Republicans vow boycott if Donald Trump wins nomination	http://www.washingtontimes.com/news/2015/oct/27/hispanic-republicans-vow-boycott-if-donald-trump-w/?utm_source=RSS_Feed&utm_medium=RSS	2015-10-28 00:00:00	2015-10-28 00:00:00	148
3804	Ohio's Kasich: GOP presidential rivals need 'reality check'	http://www.washingtontimes.com/news/2015/oct/27/kasich-supporters-to-host-send-off-rally-ahead-of-/	2015-10-28 00:00:00	2015-10-28 00:00:00	148
3935	Ohio House panel approves bill to fix small business tax	http://www.washingtontimes.com/news/2015/oct/26/ohio-house-panel-to-weigh-bill-to-fix-small-busine/	2015-10-28 00:00:00	2015-10-28 00:00:00	148
3964	Ohio governor rules out alternative execution methods	http://www.washingtontimes.com/news/2015/oct/27/ohio-governor-rules-out-alternative-execution-meth/	2015-10-28 00:00:00	2015-10-28 00:00:00	148
3971	CHARLES HURT: Anti-Donald Trump glee leaves GOP with single-digit candidates	http://www.washingtontimes.com/news/2015/oct/27/charles-hurt-anti-donald-trump-glee-leaves-gop-wit/?page=1	2015-10-28 00:00:00	2015-10-28 00:00:00	148
3976	John Sununu: Donald Trump, Ben Carson would be 'another Obama'	http://www.washingtontimes.com/news/2015/oct/27/john-sununu-donald-trump-ben-carson-would-be-anoth/	2015-10-28 00:00:00	2015-10-28 00:00:00	148
4143	Roundup of Arkansas editorials	http://www.washingtontimes.com/news/2015/oct/27/roundup-of-arkansas-editorials/	2015-10-28 00:00:00	2015-10-28 00:00:00	148
4245	CHARLES HURT: Anti-Donald Trump glee leaves GOP with single-digit candidates	http://www.washingtontimes.com/news/2015/oct/27/charles-hurt-anti-donald-trump-glee-leaves-gop-wit/?	2015-10-28 00:00:00	2015-10-28 00:00:00	148
4486	Iran invited to next round of Syria talks, U.S. officials say	http://www.washingtontimes.com/news/2015/oct/27/iran-invited-next-round-syria-talks-us-officials-s/	2015-10-28 00:00:00	2015-10-28 00:00:00	148
4587	Nov. 10 GOP presidential debate in Milwaukee will include 'undercard' forum	http://www.washingtontimes.com/news/2015/oct/28/nov-10-gop-presidential-debate-milwaukee-will-incl/	2015-10-28 00:00:00	2015-10-28 00:00:00	148
4652	Obama weighing Pentagon suggestions for more ground troops in Iraq and Syria	http://www.washingtontimes.com/news/2015/oct/27/obama-weighing-pentagon-suggestions-for-more-groun/	2015-10-28 00:00:00	2015-10-28 00:00:00	148
4700	Familia falters in 9th inning, Mets blow World Series opener	http://www.washingtontimes.com/news/2015/oct/28/familia-falters-in-9th-inning-mets-blow-world-seri/	2015-10-28 00:00:00	2015-10-28 00:00:00	148
4815	Eric Hosmer's sacrifice fly lifts Royals over Mets in 14 innings in World ...	http://www.washingtontimes.com/news/2015/oct/28/eric-hosmer-sac-fly-royals-mets-world-series-colon/	2015-10-28 00:00:00	2015-10-28 00:00:00	148
4998	Moscow to U.S., allies: 'Prove or deny' Russia is 'bombing civilians'	http://www.washingtontimes.com/news/2015/oct/27/moscow-us-allies-prove-or-deny-russia-bombing-civi/	2015-10-28 00:00:00	2015-10-28 00:00:00	148
5020	Donald Trump leading Ben Carson, rest of G...	http://www.washingtontimes.com/news/2015/oct/28/donald-trump-leading-ben-carson-rest-gop-field-sou/	2015-10-28 00:00:00	2015-10-28 00:00:00	148
5225	Iran confirms it will attend Syria peace talks among world powers	http://www.washingtontimes.com/news/2015/oct/28/iran-confirms-it-will-attend-syria-peace-talks-amo/	2015-10-28 00:00:00	2015-10-28 00:00:00	148
5243	DANIEL PIPES: A century of Palestinian hatred of Jews	http://www.washingtontimes.com/news/2015/oct/26/daniel-pipes-a-century-of-palestinian-hatred-of-je/	2015-10-28 00:00:00	2015-10-28 00:00:00	148
5399	Islamic State straps prisoners to ancient Palmyra columns, blows them up: report	http://www.washingtontimes.com/news/2015/oct/27/islamic-state-straps-prisoners-to-ancient-palmyra-/	2015-10-28 00:00:00	2015-10-28 00:00:00	148
5407	L. TODD WOOD: U.S. to begin 'direct action' on ground in Iraq, Syria against ISIS	http://www.washingtontimes.com/news/2015/oct/27/l-todd-wood-us-begin-direct-action-ground-iraq-syr/	2015-10-28 00:00:00	2015-10-28 00:00:00	148
5546	Obama's team preps for more American boots on the ground in fight against ISIS	http://www.washingtontimes.com/news/2015/oct/27/obamas-war-cabinet-preps-more-american-boots-groun/	2015-10-28 00:00:00	2015-10-28 00:00:00	148
5643	BRUCE FEIN: Jimmy Carter's mega-delusions for Syria peace	http://www.washingtontimes.com/news/2015/oct/27/bruce-fein-jimmy-carters-mega-delusions-syria-peac/	2015-10-28 00:00:00	2015-10-28 00:00:00	148
6174	L. TODD WOOD: Obama administration confirms Iran's Mideast hegemony	http://www.washingtontimes.com/news/2015/oct/28/l-todd-wood-obama-administration-confirms-irans-mi/	2015-10-28 00:00:00	2015-10-28 00:00:00	148
6416	Russian airstrikes in Syria target Assad foes, not Islamic State	http://www.washingtontimes.com/news/2015/oct/25/russian-airstrikes-in-syria-target-assad-foes-not-/	2015-10-28 00:00:00	2015-10-28 00:00:00	148
6446	EDITORIAL: Vladimir Putin trying to recreate Soviet Russia	http://www.washingtontimes.com/news/2015/oct/27/editorial-vladimir-putin-trying-to-recreate-soviet/	2015-10-28 00:00:00	2015-10-28 00:00:00	148
6534	BOOK REVIEW: 'The New Tsar: The Rise and Reign of Vladimir Putin'	http://www.washingtontimes.com/news/2015/oct/25/book-review-the-new-tsar-the-rise-and-reign-of-vla/	2015-10-28 00:00:00	2015-10-28 00:00:00	148
6578	Vladimir Putin approval rating hits new high as Russia's state media sells ...	http://www.washingtontimes.com/news/2015/oct/25/vladimir-putin-approval-rating-hits-new-high-as-ru/	2015-10-28 00:00:00	2015-10-28 00:00:00	148
6992	Chris Christie: We're fighting ISIS and al Qaeda and 'we're are talking about ...	http://www.washingtontimes.com/news/2015/oct/28/chris-christie-were-fighting-isis-and-al-qaeda-and/	2015-10-28 00:00:00	2015-10-28 00:00:00	148
7075	Republican debate winners and losers	http://www.washingtontimes.com/news/2015/oct/28/republican-debate-winners-and-losers/	2015-10-28 00:00:00	2015-10-28 00:00:00	148
7506	Illinois lawmaker proposes daily fantasy sports regulations	http://www.washingtontimes.com/news/2015/oct/27/illinois-lawmaker-proposes-daily-fantasy-sports-re/	2015-10-28 00:00:00	2015-10-28 00:00:00	148
7635	Budget deal: Social Security fixes give Republicans small victory	http://www.washingtontimes.com/news/2015/oct/27/budget-deal-social-security-fixes-give-republicans/	2015-10-28 00:00:00	2015-10-28 00:00:00	148
7790	Rand Paul: Paul Ryan as Speaker will just be 'more of the same'	http://www.washingtontimes.com/news/2015/oct/28/rand-paul-paul-ryan-speaker-will-just-be-more-same/	2015-10-28 00:00:00	2015-10-28 00:00:00	148
7899	VICTOR DAVIS HANSON: The decline of modern Germany	http://www.washingtontimes.com/news/2015/oct/28/victor-davis-hanson-the-decline-of-modern-germany/?utm_source=RSS_Feed&utm_medium=RSS	2015-10-28 00:00:00	2015-10-28 00:00:00	148
7912	Q&A: Impact of U.S. warship sailing near China-held island	http://www.washingtontimes.com/news/2015/oct/28/qa-impact-of-us-warship-sailing-near-china-held-is/	2015-10-28 00:00:00	2015-10-28 00:00:00	148
